season,outcome,bin,avg_pred,actual,error,count
2024-2025,draw,16,0.28792581033702835,0.28735632183908044,-0.000569488497947912,87
2024-2025,draw,17,0.294400565715998,0.2159090909090909,-0.07849147480690707,88
2024-2025,draw,18,0.3022581597743501,0.39080459770114945,0.08854643792679934,87
2024-2025,draw,19,0.31238451820116475,0.36363636363636365,0.051251845435198895,88
2024-2025,draw,20,0.33100060094978107,0.3522727272727273,0.021272126322946228,88
2024-2025,away,1,0.0644654805366781,0.07954545454545454,0.015079974008776448,88
2024-2025,away,2,0.09821826152193863,0.045454545454545456,-0.05276371606739318,88
2024-2025,away,3,0.1231881497939626,0.06896551724137931,-0.05422263255258329,87
2024-2025,away,4,0.14792445322239706,0.13636363636363635,-0.011560816858760703,88
2024-2025,away,5,0.1723023511560242,0.2413793103448276,0.06907695918880338,87
2024-2025,away,6,0.19152520833024403,0.1590909090909091,-0.03243429923933494,88
2024-2025,away,7,0.21057952754875606,0.20689655172413793,-0.0036829758246181288,87
2024-2025,away,8,0.23082765477885323,0.2840909090909091,0.05326325431205589,88
2024-2025,away,9,0.25174704188561153,0.3448275862068966,0.09308054432128504,87
2024-2025,away,10,0.272332041448657,0.19318181818181818,-0.07915022326683885,88
2024-2025,away,11,0.2946552656984968,0.32954545454545453,0.034890188846957715,88
2024-2025,away,12,0.3155234499893521,0.3218390804597701,0.006315630470417999,87
2024-2025,away,13,0.33795259555188645,0.3068181818181818,-0.031134413733704625,88
2024-2025,away,14,0.3689272208210589,0.3793103448275862,0.0103831240065273,87
2024-2025,away,15,0.40170793154639545,0.4772727272727273,0.07556479572633185,88
2024-2025,away,16,0.4352918980081431,0.5172413793103449,0.08194948130220175,87
2024-2025,away,17,0.4756567754675631,0.5454545454545454,0.06979776998698234,88
2024-2025,away,18,0.5285996990487556,0.632183908045977,0.10358420899722143,87
2024-2025,away,19,0.5875439753697275,0.5909090909090909,0.0033651155393634724,88
2024-2025,away,20,0.6972044295429071,0.75,0.05279557045709293,88
2025-2026,home,1,0.12420708000092548,0.07954545454545454,-0.044661625455470935,88
2025-2026,home,2,0.18360380291483808,0.13636363636363635,-0.04724016655120172,88
2025-2026,home,3,0.2261929784988349,0.28735632183908044,0.061163343340245535,87
2025-2026,home,4,0.2650731696655168,0.22727272727272727,-0.03780044239278954,88
2025-2026,home,5,0.29278382252493385,0.27586206896551724,-0.016921753559416608,87
2025-2026,home,6,0.3201814751751032,0.26136363636363635,-0.05881783881146685,88
2025-2026,home,7,0.3455615546785787,0.3793103448275862,0.0337487901490075,87
2025-2026,home,8,0.36789459489201265,0.3522727272727273,-0.015621867619285357,88
