league,outcome,bin,avg_pred,actual,error,count
Bundesliga,away,18,0.4986095478315679,0.5,0.001390452168432088,30
Bundesliga,away,19,0.5734683259112197,0.5806451612903226,0.007176835379102964,31
Bundesliga,away,20,0.7169417327691567,0.7096774193548387,-0.007264313414317991,31
La Liga,home,1,0.13107938351981496,0.15789473684210525,0.026815353322290292,38
La Liga,home,2,0.19591275440819655,0.18421052631578946,-0.011702228092407091,38
La Liga,home,3,0.24584432884267488,0.15789473684210525,-0.08794959200056962,38
La Liga,home,4,0.28376914515375357,0.21052631578947367,-0.0732428293642799,38
La Liga,home,5,0.3096962872200651,0.2894736842105263,-0.020222603009538764,38
La Liga,home,6,0.3390035125002717,0.47368421052631576,0.13468069802604404,38
La Liga,home,7,0.3608317378393493,0.3157894736842105,-0.04504226415513879,38
La Liga,home,8,0.3812053083874547,0.42105263157894735,0.039847323191492645,38
La Liga,home,9,0.3983712214804093,0.47368421052631576,0.07531298904590644,38
La Liga,home,10,0.41690557574573456,0.47368421052631576,0.056778634780581205,38
La Liga,home,11,0.44217529731662925,0.39473684210526316,-0.04743845521136608,38
La Liga,home,12,0.4623279536503769,0.5,0.03767204634962312,38
La Liga,home,13,0.48368261088479786,0.39473684210526316,-0.0889457687795347,38
La Liga,home,14,0.5074491973466442,0.3684210526315789,-0.13902814471506525,38
La Liga,home,15,0.5342450179603525,0.6052631578947368,0.07101813993438433,38
La Liga,home,16,0.5625839797758562,0.631578947368421,0.06899496759256485,38
La Liga,home,17,0.6014517142210811,0.7105263157894737,0.10907460156839255,38
La Liga,home,18,0.6721150110093299,0.8157894736842105,0.1436744626748806,38
La Liga,home,19,0.7321117343486586,0.8157894736842105,0.08367773933555189,38
La Liga,home,20,0.8073507972816804,0.9473684210526315,0.14001762377095117,38
La Liga,draw,1,0.12410470781972,0.0,-0.12410470781972,38
La Liga,draw,2,0.1598322668786744,0.10526315789473684,-0.054569108983937575,38
La Liga,draw,3,0.18822542737918357,0.21052631578947367,0.0223008884102901,38
La Liga,draw,4,0.21024426080664604,0.15789473684210525,-0.05234952396454079,38
La Liga,draw,5,0.22852996486107138,0.18421052631578946,-0.04431943854528192,38
La Liga,draw,6,0.24385103762224328,0.18421052631578946,-0.059640511306453814,38
La Liga,draw,7,0.25416907627137114,0.18421052631578946,-0.06995854995558168,38
La Liga,draw,8,0.26091692008407746,0.2894736842105263,0.028556764126448864,38
La Liga,draw,9,0.26796654375270607,0.2631578947368421,-0.004808649015863975,38
La Liga,draw,10,0.2732022043300076,0.2631578947368421,-0.01004430959316549,38
La Liga,draw,11,0.28048454463445427,0.3157894736842105,0.03530492904975624,38
La Liga,draw,12,0.2863556545347401,0.3684210526315789,0.08206539809683883,38
La Liga,draw,13,0.29140557434105263,0.2894736842105263,-0.0019318901305263037,38
La Liga,draw,14,0.29625486010655816,0.34210526315789475,0.045850403051336586,38
La Liga,draw,15,0.3010873707450557,0.3684210526315789,0.06733368188652322,38
La Liga,draw,16,0.3059034267247068,0.2631578947368421,-0.04274553198786468,38
La Liga,draw,17,0.31075691697536617,0.42105263157894735,0.11029571460358117,38
La Liga,draw,18,0.31799551429720985,0.2631578947368421,-0.054837619560367756,38
La Liga,draw,19,0.32536787966614844,0.23684210526315788,-0.08852577440299056,38
La Liga,draw,20,0.34269774111413515,0.2894736842105263,-0.05322405690360882,38
La Liga,away,1,0.06633920763415327,0.05263157894736842,-0.01370762868678485,38
La Liga,away,2,0.09721463724265096,0.05263157894736842,-0.04458305829528254,38
La Liga,away,3,0.1272697433497077,0.02631578947368421,-0.10095395387602349,38
La Liga,away,4,0.1563842931454861,0.23684210526315788,0.08045781211767178,38
La Liga,away,5,0.18103063257225507,0.18421052631578946,0.00317989374353439,38
La Liga,away,6,0.196172855984759,0.15789473684210525,-0.03827811914265375,38
La Liga,away,7,0.2140457399975722,0.18421052631578946,-0.02983521368178274,38
La Liga,away,8,0.23099288757981196,0.3157894736842105,0.08479658610439855,38
La Liga,away,9,0.24467827553083923,0.2631578947368421,0.018479619206002856,38
La Liga,away,10,0.26104939470492833,0.13157894736842105,-0.12947044733650728,38
La Liga,away,11,0.274648309388688,0.2631578947368421,-0.011490414651845915,38
La Liga,away,12,0.2942972848639297,0.3157894736842105,0.02149218882028081,38
La Liga,away,13,0.3111638438840869,0.21052631578947367,-0.10063752809461324,38
La Liga,away,14,0.3311871251024782,0.23684210526315788,-0.09434501983932034,38
La Liga,away,15,0.35342118479317614,0.3157894736842105,-0.037631711108965626,38
La Liga,away,16,0.3868071662742867,0.5263157894736842,0.1395086231993975,38
La Liga,away,17,0.4259203998423504,0.3684210526315789,-0.05749934721077149,38
La Liga,away,18,0.4797294948243317,0.631578947368421,0.15184945254408933,38
La Liga,away,19,0.5536043397947409,0.5789473684210527,0.02534302862631177,38
La Liga,away,20,0.6765787216515079,0.6052631578947368,-0.07131556375677106,38
Serie A,home,1,0.11897390759125899,0.02631578947368421,-0.09265811811757478,38
Serie A,home,2,0.1588615944076046,0.07894736842105263,-0.07991422598655198,38
Serie A,home,3,0.18790073415068106,0.21052631578947367,0.022625581638792608,38
Serie A,home,4,0.22082169931161116,0.23684210526315788,0.016020405951546718,38
Serie A,home,5,0.25907331170600695,0.2894736842105263,0.03040037250451938,38
Serie A,home,6,0.2870737421494143,0.18421052631578946,-0.10286321583362482,38
Serie A,home,7,0.3135713979148144,0.18421052631578946,-0.12936087159902496,38
Serie A,home,8,0.3420143478709296,0.34210526315789475,9.091528696514306e-05,38
Serie A,home,9,0.3688574286874272,0.2894736842105263,-0.07938374447690089,38
Serie A,home,10,0.393415992543238,0.34210526315789475,-0.05131072938534326,38
Serie A,home,11,0.4148739926805393,0.4473684210526316,0.032494428372092266,38
Serie A,home,12,0.43983762303274565,0.47368421052631576,0.03384658749357011,38
Serie A,home,13,0.47040066558882865,0.4473684210526316,-0.023032244536197066,38
Serie A,home,14,0.5008350711496893,0.5789473684210527,0.07811229727136337,38
Serie A,home,15,0.5338429917264085,0.4473684210526316,-0.0864745706737769,38
Serie A,home,16,0.574060462022121,0.5526315789473685,-0.021428883074752547,38
Serie A,home,17,0.6237916527851491,0.5526315789473685,-0.07116007383778067,38
Serie A,home,18,0.6613694835651742,0.6578947368421053,-0.003474746723068911,38
Serie A,home,19,0.7081731530760621,0.7368421052631579,0.028668952187095753,38
Serie A,home,20,0.7650172271453496,0.7894736842105263,0.02445645706517674,38
Serie A,draw,1,0.15288761703157752,0.13157894736842105,-0.021308669663156476,38
Serie A,draw,2,0.18594827235068112,0.18421052631578946,-0.0017377460348916574,38
Serie A,draw,3,0.20346684004430013,0.23684210526315788,0.03337526521885775,38
Serie A,draw,4,0.2165451005106951,0.23684210526315788,0.020297004752462794,38
Serie A,draw,5,0.2293481734180899,0.23684210526315788,0.007493931845067969,38
Serie A,draw,6,0.2398102831883059,0.23684210526315788,-0.00296817792514803,38
Serie A,draw,7,0.25218795569588415,0.13157894736842105,-0.1206090083274631,38
Serie A,draw,8,0.2619466875377319,0.34210526315789475,0.08015857562016282,38
Serie A,draw,9,0.2689681243620729,0.13157894736842105,-0.13738917699365186,38
Serie A,draw,10,0.2751642182488431,0.3157894736842105,0.040625255435367436,38
Serie A,draw,11,0.2814246851792019,0.2894736842105263,0.008048999031324444,38
Serie A,draw,12,0.2870498488720532,0.3684210526315789,0.08137120375952572,38
Serie A,draw,13,0.2919100080127868,0.2631578947368421,-0.028752113275944735,38
Serie A,draw,14,0.2964444728736654,0.2631578947368421,-0.033286578136823286,38
Serie A,draw,15,0.3012562251283215,0.3157894736842105,0.014533248555889,38
Serie A,draw,16,0.3052478627390311,0.34210526315789475,0.03685740041886365,38
Serie A,draw,17,0.3112560757780405,0.3157894736842105,0.0045333979061700225,38
Serie A,draw,18,0.31674014515735066,0.3157894736842105,-0.0009506714731401522,38
Serie A,draw,19,0.3232717012470636,0.39473684210526316,0.07146514085819955,38
Serie A,draw,20,0.33413422483127286,0.39473684210526316,0.0606026172739903,38
Serie A,away,1,0.07875053007118597,0.02631578947368421,-0.052434740597501764,38
Serie A,away,2,0.10298540546336599,0.10526315789473684,0.0022777524313708497,38
Serie A,away,3,0.12416191833812273,0.10526315789473684,-0.018898760443385898,38
Serie A,away,4,0.14559929235399185,0.15789473684210525,0.0122954444881134,38
Serie A,away,5,0.17227636212498026,0.2631578947368421,0.09088153261186183,38
Serie A,away,6,0.19626201855989214,0.13157894736842105,-0.0646830711914711,38
Serie A,away,7,0.2161834462383431,0.13157894736842105,-0.08460449886992205,38
Serie A,away,8,0.23705800864682533,0.15789473684210525,-0.07916327180472008,38
Serie A,away,9,0.25909567807900324,0.2894736842105263,0.030378006131523083,38
Serie A,away,10,0.27869959612919365,0.18421052631578946,-0.09448906981340419,38
Serie A,away,11,0.2948531591385299,0.34210526315789475,0.04725210401936486,38
Serie A,away,12,0.31593363899522253,0.3157894736842105,-0.00014416531101202334,38
Serie A,away,13,0.3424841259959497,0.34210526315789475,-0.0003788628380549386,38
Serie A,away,14,0.376603817565874,0.42105263157894735,0.04444881401307332,38
Serie A,away,15,0.4105699042691145,0.5,0.0894300957308855,38
Serie A,away,16,0.4500546218654758,0.5526315789473685,0.10257695708189268,38
Serie A,away,17,0.4965387056135806,0.5789473684210527,0.08240866280747206,38
Serie A,away,18,0.5497566746941469,0.6842105263157895,0.13445385162164258,38
Serie A,away,19,0.5988007044938733,0.631578947368421,0.03277824287454767,38
Serie A,away,20,0.6755573900513054,0.7631578947368421,0.0876005046855367,38
Ligue 1,home,1,0.12596390040288735,0.06451612903225806,-0.06144777137062929,31
Ligue 1,home,2,0.18129581673513243,0.25806451612903225,0.07676869939389983,31
Ligue 1,home,3,0.21832244031842266,0.2,-0.018322440318422645,30
Ligue 1,home,4,0.25060174981188443,0.3548387096774194,0.10423695986553494,31
Ligue 1,home,5,0.28098501436444484,0.4,0.11901498563555518,30
Ligue 1,home,6,0.30126833961334887,0.3225806451612903,0.021312305547941446,31
Ligue 1,home,7,0.3254838215171329,0.3333333333333333,0.007849511816200416,30
Ligue 1,home,8,0.35519708967347785,0.3870967741935484,0.031899684520070526,31
Ligue 1,home,9,0.3879756117555479,0.36666666666666664,-0.02130894508888126,30
Ligue 1,home,10,0.41239390933754333,0.5161290322580645,0.10373512292052117,31
